id,customer_id,status,subtotal_amount,discount_amount,total_amount,created_at,source
c5aeb3ab-efaf-44d9-80c6-56206ead6e0a,a0ce4323-0151-4629-8c1f-003e55da0bce,paid,998.0,0.0,998.0,2026-09-05 11:30:57.479123+00:00,ai_buyer
04ad3dd8-deb7-40d5-a51e-e41d635f44a6,10c10e62-3b36-4134-8cf3-c4727d127242,paid,491.3,0.0,590.3,2026-02-06 21:22:40.288862+00:00,direct
54a26536-2e68-4073-9a3b-115d867be9c5,10c10e62-3b36-4134-8cf3-c4727d127242,paid,1527.45,0.0,1527.45,2025-10-07 02:25:40.288862+00:00,direct
9c9000e5-3705-4c3e-a69c-42e4197a8024,10c10e62-3b36-4134-8cf3-c4727d127242,paid,729.3,0.0,828.3,2025-10-21 13:40:40.288862+00:00,direct
a24ee2c8-30e5-4572-bffb-98c69772301a,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,738.0,53.25,783.75,2025-11-15 08:49:40.288862+00:00,direct
e7c7207c-6a6e-4c07-b638-f31b8f272e81,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,598.0,0.0,697.0,2026-04-01 23:34:40.288862+00:00,direct
886728ac-7a41-40e3-9bfe-ac2f7f95cb77,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,1616.0,0.0,1616.0,2026-04-01 12:53:40.288862+00:00,direct
b0e4d435-ab76-4b8e-864c-cfcbe1b533e3,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,failed,478.0,0.0,577.0,2026-08-08 12:56:40.288862+00:00,direct
0fcccdac-228b-4986-a253-cc44fa3bd033,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,999.0,74.74,1023.26,2026-04-28 19:57:40.288862+00:00,direct
d75fdd15-146b-46df-ac3e-3cc4ea1a0fda,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,858.0,0.0,957.0,2026-02-03 15:50:40.288862+00:00,direct
2c77d165-9119-4854-ad53-020ef8a26e18,8ea928d5-792c-41c7-9c7a-69ef5f5f7b02,paid,299.0,15.03,382.97,2026-08-23 02:22:40.288862+00:00,direct
b73ec7fd-132b-4772-a23e-6e6f86d63161,d4834d33-dda7-4da8-9dbd-7731268fbd5e,paid,271.15,0.0,370.15,2026-02-03 12:09:40.288862+00:00,direct
f595d1e8-17c6-49db-9243-38c1767a084d,d4834d33-dda7-4da8-9dbd-7731268fbd5e,paid,558.45,0.0,657.45,2025-12-28 17:50:40.288862+00:00,direct
3db55930-200f-4494-9141-313b614e6952,dae44109-f30e-4e6b-aeec-3885321985de,paid,753.3,0.0,852.3,2026-09-02 01:20:40.288862+00:00,direct
d06881da-bf92-4c28-8608-c985b3464396,50b91420-f2b9-47aa-873e-1dcbc6a4cfbc,paid,511.1,0.0,610.1,2025-12-14 02:53:40.288862+00:00,direct
e650f2c7-1e20-4e23-84b0-bd115379c873,50b91420-f2b9-47aa-873e-1dcbc6a4cfbc,paid,1706.2,0.0,1706.2,2026-06-14 12:33:40.288862+00:00,direct
d0cb36a1-1607-4f45-b4e8-76eb860f6eb8,50b91420-f2b9-47aa-873e-1dcbc6a4cfbc,paid,3950.1,0.0,3950.1,2026-08-11 10:22:40.288862+00:00,direct
658e03e2-84d2-4096-b6d9-6f023c7f208f,54366bb1-8191-4ea9-bb92-06f54b882654,paid,1497.0,216.62,1379.38,2026-04-10 12:33:40.288862+00:00,direct
a41fd892-d843-46b3-9813-178924570871,54366bb1-8191-4ea9-bb92-06f54b882654,paid,498.0,0.0,597.0,2026-06-18 12:46:40.288862+00:00,direct
78a84507-e2e1-459d-b9b4-202b5cb48f28,54366bb1-8191-4ea9-bb92-06f54b882654,cancelled,1198.0,0.0,1297.0,2026-06-28 02:15:40.288862+00:00,direct
054f10eb-205a-4443-9b8e-441fa1ac7a1e,54366bb1-8191-4ea9-bb92-06f54b882654,paid,319.0,0.0,418.0,2025-12-28 20:30:40.288862+00:00,direct
3e644a0b-eb2e-4766-8029-4c3803015ebe,54366bb1-8191-4ea9-bb92-06f54b882654,paid,1816.0,0.0,1816.0,2026-02-16 09:44:40.288862+00:00,direct
1d44aea7-9775-4141-8610-514bfb5d307c,54366bb1-8191-4ea9-bb92-06f54b882654,paid,299.0,0.0,398.0,2026-07-29 10:18:40.288862+00:00,direct
fed7c26b-31f7-452f-916f-322d6598385b,d8e9b7a9-68a7-4214-834e-55d4c7e7756f,paid,1117.0,0.0,1216.0,2026-03-20 17:40:40.288862+00:00,direct
02b33014-d0cc-4284-b0a5-2174d4ec85e1,d8e9b7a9-68a7-4214-834e-55d4c7e7756f,paid,179.0,0.0,278.0,2026-07-21 07:16:40.288862+00:00,direct
54e2986f-8bbf-4517-b3aa-087f8fc6dcec,d8e9b7a9-68a7-4214-834e-55d4c7e7756f,paid,858.0,0.0,957.0,2026-08-13 09:46:40.288862+00:00,direct
79f14445-82e2-4f84-b42f-c14688d8ed97,d8e9b7a9-68a7-4214-834e-55d4c7e7756f,paid,498.0,46.9,550.1,2025-12-25 06:50:40.288862+00:00,direct
1fad2e6a-e851-4601-acc9-b4164cbe85b7,d8e9b7a9-68a7-4214-834e-55d4c7e7756f,paid,718.0,0.0,817.0,2026-07-19 12:48:40.288862+00:00,direct
f90fb452-d41a-4630-8ef3-54c77f8f46fe,de2ab2e1-5eab-408e-b315-56435edd4f1d,paid,1120.3,0.0,1219.3,2025-10-13 01:15:40.288862+00:00,direct
346b7b47-6092-4222-b10a-6bdedaaeb5c0,de2ab2e1-5eab-408e-b315-56435edd4f1d,paid,1442.45,0.0,1541.45,2026-01-12 14:23:40.288862+00:00,direct
b2c72cb0-0eaa-4983-985c-0d062fe26e07,de2ab2e1-5eab-408e-b315-56435edd4f1d,paid,491.3,0.0,590.3,2026-01-01 23:31:40.288862+00:00,direct
d50f19f4-621f-432e-ab91-d92ef7a32518,31c9b222-348b-42c8-8712-ed9c8d823e33,paid,701.1,72.67,727.43,2026-01-09 06:16:40.288862+00:00,direct
dcaa5fe5-7db6-4b48-99a7-61dae60f1f4b,31c9b222-348b-42c8-8712-ed9c8d823e33,failed,284.05,0.0,383.05,2026-08-19 14:41:40.288862+00:00,direct
3f35f40e-4dc5-47a5-935b-97e3be741afd,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,paid,358.0,0.0,457.0,2025-10-03 12:45:40.288862+00:00,direct
ae3a7d0d-5883-483c-8268-c03b5724ec5c,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,paid,498.0,0.0,597.0,2026-01-05 17:56:40.288862+00:00,direct
457c7065-bff9-41e4-836b-065cf70ee624,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,paid,179.0,0.0,278.0,2025-10-25 03:02:40.288862+00:00,direct
fcf38c5c-db1d-4976-ae4b-64f797f5f40c,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,paid,817.0,0.0,916.0,2026-07-16 23:30:40.288862+00:00,direct
b6f594f1-060b-4261-86d7-4536c6398df4,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,paid,359.0,0.0,458.0,2026-09-05 06:14:40.288862+00:00,direct
684c2d07-4a95-4437-a474-8e8cc4261e7c,1ae26631-79c0-43cc-9a34-5da3c36cd2d6,cancelled,239.0,0.0,338.0,2026-08-22 06:14:40.288862+00:00,direct
9163ef85-7e90-4ab3-adc5-0c9a31957edf,3349ea28-e0f7-4ec8-8828-1c029be8b909,paid,699.0,53.5,744.5,2026-04-12 10:56:40.288862+00:00,direct
bf5acfc8-8af0-45ca-a8ed-2d562704ba1c,3349ea28-e0f7-4ec8-8828-1c029be8b909,paid,578.0,74.17,602.83,2025-11-03 12:00:40.288862+00:00,direct
ae6a1902-6ea7-422b-ab14-9b5e0ff6ed3b,3349ea28-e0f7-4ec8-8828-1c029be8b909,paid,1058.0,0.0,1157.0,2025-09-13 15:03:40.288862+00:00,direct
f6e384da-8db3-48f9-b980-4156fe53b15e,3349ea28-e0f7-4ec8-8828-1c029be8b909,paid,1497.0,0.0,1596.0,2026-05-28 07:00:40.288862+00:00,direct
